"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"ui_bubble_rating bubble_50","Una rivelazione!!!","Sono andata a cena col mio fidanzato grazie al consiglio di amici, non potevamo chiedere di meglio per la nostra cena. Locale piccolo ma curato nei minimi dettagli, lo staff gentile ed accogliente e i piatti preparati minuziosamente. Ottimo antipasto di zucchina tonda, buttata e salsa di barbabietola, i prodotti sono di ottima qualità. Ci ritorneremo SENZ’ALTRO. Da cinque stelle. "
"ui_bubble_rating bubble_50","Ottimo","Complimenti davvero, ristorante e cucina diversa dal solito, veramente particolare e molto dettagliata. Locale piccolo e carino, qualità del cibo elevata. Personale in gamba, sono rimasto contento e spero di ritornare presto!"
"ui_bubble_rating bubble_50","Eccellente","Locale molto accogliente e personale giovane e preparato, ho ordinato un secondo a base di pesce e sono rimasta molto soddisfatta..ottimo il rapporto qualità-prezzo."
"ui_bubble_rating bubble_10","Unpopular opinion: aspettative alte assolutamente disattese","Lette le stratosferiche recensioni ho deciso di provare questo nuovo locale. Dal menù vario e ricercato ho scelto due portate di pesce (polpo con scarola e tzatziki e guazzetto di calamari&broccoli) e devo dire di essere rimasta molto delusa: piatti non buoni, l’unica cosa davvero piacevole di entrambi sono state le patate lesse. Sono rimasta quasi disgustata, al punto che (incredibilmente) non ho avuto nemmeno voglia di prendere un dolce. I miei commensali hanno ordinato filetto di Maiale e pasta fresca ripiena di parmigiana e, a detta loro, sono stati più fortunati di me. Non so se vorrò tornare per una seconda chance. Prezzi in linea con la tipologia di locale "
"ui_bubble_rating bubble_50","Sopraffino","Ottimo ristorante dove poter provare una cucina particolare, delicata e gustosa. Il personale giovane, ma non per questo inesperto, è molto attento e ti fa sentire a casa senza essere troppo invadente. Il prezzo più che giusto. Consiglio vivamente di provarlo!P.S: se volete la solita trattoria con la solita bistecca alla fiorentina andate da un'altra parte."
"ui_bubble_rating bubble_50","Goduria","Sono stato a Firenze con amici. Per caso mi sono ritrovato in questo ristorante. Molto gentile il personale. Ci siamo sentiti subito clienti, come se già avevamo fatto visita in passato.Il cibo e stato molto gustoso e abbondante . Voglio ritornarci perché voglio provare le altre specialità."
"ui_bubble_rating bubble_50","Plauso a questo piccolo grande ristorante!","I ristoranti di Firenze dovrebbero prendere da esempio! Complimenti! Ottime le materie prime e i piatti sono eccellenti. Un plauso anche al servizio e alla cura per i clienti. Bravi! Continuate così!"
"ui_bubble_rating bubble_50","Una vera sorpresa ","Ambiente accogliente e personale qualificato, gentile, attento e competente. Cucina veramente buona, ricercata e particolare. Rapporto qualità/prezzo eccellente. Una sorpresa che consiglio e sulla quale non ci sono dubbi!! Complimenti!!!"
"ui_bubble_rating bubble_50","IL GUSTO DIVERSO","Abbiamo fatto la cena italiana ma con gusto diverso che non credo mai in locale carino e grazie di Salvo che ha presentato e servito benissimo era molto gentile , e grazie tanto da altri ragazzi che lavorano in questo ristorante . Senz’altro ...."
"ui_bubble_rating bubble_50","Ottime qualità","Che dir? cibo molto buono,ottima qualità degli ingredienti utilizzati, locale accogliente e ragazzi davvero preparati. Esperienza da riprovare. Ci tornerò sicuramente!"
"ui_bubble_rating bubble_50","Cena in famiglia","Sono venuta insieme alla mia famiglia e ne sono rimasta abbastanza entusiasta, cibo ottimo, locale molto bello, e personale molto cordiale. Consiglio assolutamente!!"
