"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"ui_bubble_rating bubble_50","Molto buono! ","Ottimo ristorante indiano in centro a Firenze; abbiamo prenotato con The Fork e oltre allo sconto dell'app ci hanno fatto un ulteriore sconto per arrotondare. Antipasti molto buoni, piatti principali anche, sia di pollo che di gamberi. Il riso è da ordinare a parte ed è un po' caro ma a parte quello tutto ottimo. Personale cordiale, prezzi nella media. Ci torneremo! "
"ui_bubble_rating bubble_50","Tutto buono ","Pietanze davvero all'altezza e personale gentile e competente. Porzioni abbastanza abbondanti. Tantissima scelta nel menu. Da ritornarci. "
"ui_bubble_rating bubble_50","Buono e diverso",""
"ui_bubble_rating bubble_50","Incredibile",""
"ui_bubble_rating bubble_50","Deve visitare!!",""
"ui_bubble_rating bubble_50","Veramente buono",""
"ui_bubble_rating bubble_50","Il cibo indiano incredibile nel cuore di Firenze",""
"ui_bubble_rating bubble_50","Ottimo cibo ottimo servizio",""
"ui_bubble_rating bubble_50","Ottimo per trovare cibo sud indiana.",""
"ui_bubble_rating bubble_50","Ottima esperienza",""
"ui_bubble_rating bubble_50","Best Indian in Italia",""
"ui_bubble_rating bubble_50","100 Marchi imponenti del pranzo",""
"ui_bubble_rating bubble_50","Succulente",""
"ui_bubble_rating bubble_50","Ottima varietà di piatti dell'India del Sud",""
"ui_bubble_rating bubble_50","Autentica cucina fantastica",""
"ui_bubble_rating bubble_50","Il cibo era molto buono",""
"ui_bubble_rating bubble_50","Ottima selezione di cibo indiano",""
"ui_bubble_rating bubble_50","OMG",""
"ui_bubble_rating bubble_50","Ottimo ristorante con una varietà di piatti indiani!",""
"ui_bubble_rating bubble_50","Il cibo era delizioso!",""
"ui_bubble_rating bubble_50","Ottima varietà di piatti dell'India del Sud",""
"ui_bubble_rating bubble_50","Cibo e servizio eccellente!!",""
"ui_bubble_rating bubble_50","Ottimo cibo indiano a Firenze",""
"ui_bubble_rating bubble_50","Servizio eccellente, buon cibo, personale caloroso",""
"ui_bubble_rating bubble_50","Meraviglioso",""
"ui_bubble_rating bubble_50","Il Meglio di Firenze",""
"ui_bubble_rating bubble_50","Real autentico cibo indiano Sud",""
"ui_bubble_rating bubble_50","Ottimo cibo indiano",""
"ui_bubble_rating bubble_50","Tesoro nascosto!",""
"ui_bubble_rating bubble_50","Cibo indiano Sud superba !",""
